#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
      4.00,    1,        1.4,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:04Z,     1.3880
      5.00,    1,       15.3,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:05Z,    15.2680
      6.00,    1,       29.1,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:06Z,    29.1480
      7.00,    1,       43.0,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:07Z,    43.0280
      8.00,    1,       56.9,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:08Z,    56.9080
      8.00,    2,        1.4,    13.9250,    0.45026,       0.00,   0.000000,  IDM,            2,        1,        1, , 1970-01-01T00:00:08Z,     1.3903
      9.00,    1,       70.8,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:09Z,    70.7880
      9.00,    2,       15.4,    13.6894,   -1.62759,       0.00,   0.000000,  IDM,            2,        1,        1, , 1970-01-01T00:00:09Z,    15.4267
     10.00,    1,       84.7,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:10Z,    84.6680
     10.00,    2,       28.5,    12.5654,   -0.82634,       0.00,   0.000000,  IDM,            2,        1,        1, , 1970-01-01T00:00:10Z,    28.4925
     11.00,    2,       98.5,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:11Z,    98.5480
     11.00,    2,       40.7,    11.9154,   -0.55394,      51.83,  -1.964573,  IDM,            2,        1,        1, , 1970-01-01T00:00:11Z,    40.7156
     12.00,    2,      112.4,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:12Z,   112.4280
     12.00,    2,       52.4,    11.4996,   -0.32500,      54.02,  -2.380394,  IDM,            2,        1,        1, , 1970-01-01T00:00:12Z,    52.4050
     12.00,    3,        1.4,    13.9149,    0.34871,       0.00,   0.000000,  IDM,            3,        1,        1, , 1970-01-01T00:00:12Z,     1.3897
     13.00,    2,      126.3,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:13Z,   126.3080
     13.00,    2,       63.8,    11.2493,   -0.19960,      56.54,  -2.630717,  IDM,            2,        1,        1, , 1970-01-01T00:00:13Z,    63.7695
     13.00,    3,       15.4,    13.6272,   -1.57694,       0.00,   0.000000,  IDM,            3,        1,        1, , 1970-01-01T00:00:13Z,    15.3735
     14.00,    2,      140.2,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:14Z,   140.1880
     14.00,    2,       74.9,    11.0935,   -0.12552,      59.25,  -2.786538,  IDM,            2,        1,        1, , 1970-01-01T00:00:14Z,    74.9349
     14.00,    3,       28.4,    12.5334,   -0.80681,       0.00,   0.000000,  IDM,            3,        1,        1, , 1970-01-01T00:00:14Z,    28.3946
     15.00,    2,      154.2,    14.0800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:15Z,   154.1580
     15.00,    2,       86.0,    10.9963,   -0.07645,      62.18,  -3.083713,  IDM,            2,        1,        1, , 1970-01-01T00:00:15Z,    85.9758
     15.00,    3,       40.6,    11.9317,   -0.46930,       0.00,   0.000000,  IDM,            3,        1,        1, , 1970-01-01T00:00:15Z,    40.6005
     16.00,    1,        1.4,    13.8596,   -0.20411,       0.00,   0.000000,  IDM,            4,        1,        1, , 1970-01-01T00:00:16Z,     1.3870
     16.00,    2,      168.5,    14.4800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:16Z,   168.4680
     16.00,    2,       96.9,    10.9391,   -0.04364,      65.53,  -3.540925,  IDM,            2,        1,        1, , 1970-01-01T00:00:16Z,    96.9408
