#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
     40.00,    2,       14.8,     9.3602,    0.00000,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:40Z,    14.8288
     41.00,    1,       10.6,     7.9945,   -0.00000,       0.00,   0.000000,  IDM,            1,        2,        1, , 1970-01-01T00:00:41Z,    10.6250
     41.00,    2,       24.2,     9.3602,    0.00000,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:41Z,    24.1890
     42.00,    1,       18.6,     7.9945,   -0.00000,       0.00,   0.000000,  IDM,            1,        2,        1, , 1970-01-01T00:00:42Z,    18.6196
     42.00,    2,       33.5,     9.3602,    0.00000,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:42Z,    33.5492
     42.00,    2,        7.2,     9.3476,    0.01625,      20.38,  -0.012542,  IDM,            5,        2,        1, , 1970-01-01T00:00:42Z,     7.1649
     43.00,    1,       26.6,     7.9945,   -0.00000,       0.00,   0.000000,  IDM,            1,        2,        1, , 1970-01-01T00:00:43Z,    26.6141
     43.00,    1,       10.9,     5.7116,   -0.06290,       9.70,  -2.282881,  IDM,            3,        2,        3, , 1970-01-01T00:00:43Z,    10.9171
     43.00,    2,       42.9,     9.3602,    0.00000,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:43Z,    42.9094
     43.00,    2,       16.5,     9.3607,    0.01063,      20.39,   0.000490,  IDM,            5,        2,        1, , 1970-01-01T00:00:43Z,    16.5195
     44.00,    1,       34.6,     7.9945,   -0.00000,       0.00,   0.000000,  IDM,            1,        2,        1, , 1970-01-01T00:00:44Z,    34.6086
     44.00,    1,       16.7,     5.8207,    0.20036,      11.95,  -2.173804,  IDM,            3,        2,        3, , 1970-01-01T00:00:44Z,    16.6635
     44.00,    2,       52.3,     9.3602,    0.00000,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:44Z,    52.2695
     44.00,    2,       25.9,     9.3689,    0.00640,      20.38,   0.008690,  IDM,            5,        2,        1, , 1970-01-01T00:00:44Z,    25.8846
     45.00,    1,       42.6,     7.9945,   -0.00000,       0.00,   0.000000,  IDM,            1,        2,        1, , 1970-01-01T00:00:45Z,    42.6032
     45.00,    1,       22.6,     6.0668,    0.26790,      14.00,  -1.927687,  IDM,            3,        2,        3, , 1970-01-01T00:00:45Z,    22.6023
     45.00,    2,       61.6,     9.3602,    0.00000,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:45Z,    61.6297
     45.00,    2,       35.3,     9.3735,    0.00333,      20.37,   0.013315,  IDM,            5,        2,        1, , 1970-01-01T00:00:45Z,    35.2561
     45.00,    2,        7.8,     9.0741,    0.22534,      21.41,  -0.299419,  IDM,            6,        2,        3, , 1970-01-01T00:00:45Z,     7.8477
     46.00,    1,       50.6,     7.9945,   -0.00000,       0.00,   0.000000,  IDM,            1,        2,        1, , 1970-01-01T00:00:46Z,    50.5977
     46.00,    1,       28.8,     6.3377,    0.26704,      15.79,  -1.656878,  IDM,            3,        2,        3, , 1970-01-01T00:00:46Z,    28.8048
     46.00,    2,       71.0,     9.3602,    0.00000,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:46Z,    70.9899
     46.00,    2,       44.6,     9.3756,    0.00117,      20.36,   0.015388,  IDM,            5,        2,        1, , 1970-01-01T00:00:46Z,    44.6308
     46.00,    2,       17.0,     9.2653,    0.16449,      21.61,  -0.110260,  IDM,            6,        2,        3, , 1970-01-01T00:00:46Z,    17.0224
